Raw data											
4/15											
system	schedule	pp	ep	zero_stage	iter_time_mean	iter_time_stddev	peak_memory_gb_by_rank				
piper	1f1b	4	1	0	1.632	0.008	18.557/16.237/16.237/18.557				
piper	1f1b	4	2	0	oom						
piper	1f1b	4	2	2	3.285	0.026	9.635/8.186/8.186/9.635/9.635/8.186/8.186/9.635				
piper	1f1b	4	2	3	4.725	0.020	11.163/10.129/10.129/11.664/11.163/10.129/10.129/11.664				
piper	1f1b	4	4	0	oom						
piper	1f1b	4	4	2	4.248	0.021	9.115/8.101/8.101/9.115/9.115/8.101/8.101/9.115/9.115/8.101/8.101/9.115/9.115/8.101/8.101/9.115				
piper	1f1b	4	4	3	6.572	0.022	10.469/10.016/10.015/10.972/10.469/10.016/10.015/10.972/10.469/10.016/10.015/10.972/10.469/10.016/10.016/10.972				
piper	1f1b	8	1	0	1.965	0.011	10.447/8.127/8.127/8.127/8.127/8.127/8.127/10.447				
piper	1f1b	8	2	0	3.959	0.087	10.447/8.127/8.127/8.127/8.127/8.127/8.127/10.447/10.447/8.127/8.127/8.127/8.127/8.127/8.127/10.447				
piper	1f1b	8	2	2	3.909	0.285	5.551/4.102/4.102/4.102/4.102/4.102/4.102/5.551/5.551/4.102/4.102/4.102/4.102/4.102/4.102/5.551				
piper	1f1b	8	2	3	5.701	0.091	6.733/5.824/5.824/5.824/5.825/5.824/5.824/7.736/6.733/5.824/5.824/5.824/5.825/5.824/5.824/7.736				
piper	1f1b	8	4	0	5.058	0.114	10.447/8.127/8.127/8.127/8.127/8.127/8.127/10.447/10.447/8.127/8.127/8.127/8.127/8.127/8.127/10.447/10.447/8.127/8.127/8.127/8.127/8.127/8.127/10.447/10.447/8.127/8.127/8.127/8.127/8.127/8.127/10.447				
piper	1f1b	8	4	2	4.928	0.267	5.073/4.059/4.059/4.059/4.059/4.059/4.059/5.073/5.073/4.059/4.059/4.059/4.059/4.059/4.059/5.073/5.073/4.059/4.059/4.059/4.059/4.059/4.059/5.073/5.073/4.059/4.059/4.059/4.059/4.059/4.059/5.073				
piper	1f1b	8	4	3	7.772	0.091	6.097/5.765/5.766/5.765/5.766/5.765/5.766/7.098/6.097/5.765/5.766/5.765/5.766/5.765/5.766/7.098/6.097/5.765/5.766/5.765/5.766/5.765/5.766/7.098/6.097/5.765/5.766/5.765/5.766/5.766/5.766/7.098				
torchtitan	1f1b	4	1	3	1.501	0.011	23.95/22.52/17.42/16.53				
torchtitan	1f1b	4	2	3	3.857	0.084	30.51/25.42/19.87/19.17				
torchtitan	1f1b	4	4	3	6.079	0.044	22.57/19.72/13.99/15.31				
torchtitan	1f1b	8	1	3	1.749	0.005	20.06/22.63/15.68/13.99/12.29/10.60/8.98/8.79				
